ime,obshtina,moshtnost
"ФтЕЦ ""Черганово""",община Казанлък,29.3
"ФтЕЦ ""Сливо поле - 1""",община Сливо поле,0.03
"ФтЕЦ ""PV-централа 1""",община Казанлък,4.9896
"ФтЕЦ ""PV-централа 2""",община Казанлък,4.95873
"ФтЕЦ ""PV-централа 8""",община Казанлък,4.97385
"ФтЕЦ ""PV-централа 9""",община Казанлък,4.9203
"ФтЕЦ ""PV-централа 10""",община Казанлък,4.9812
"ФтЕЦ ""Годеч""",община Годеч,0.054405
"ФтЕЦ ""Бест Енерджи""",община Стара Загора,0.00924
"ФтЕЦ ""Бултех""",община Стара Загора,0.028
"ФтЕЦ ""Будев - Твърдица""",община Твърдица,0.07776
"ФтЕЦ "" Искър""",община Вълчи дол,0.08424
"ФтЕЦ ""Булспейс""",община Исперих,0.003385
"ФтЕЦ ""Бултех - 2000 - Калояновец""",община Стара Загора,0.49656
"ФтЕЦ ""Бултех 2""",община Стара Загора,0.0232
"ФтЕЦ ""Бултрейд - Александрово""",община Павел баня,0.03
"ФтЕЦ ""Бул Фикс Трейд - Свиленград""",община Свиленград,0.38164
"ФтЕЦ ""БЦ Енерджи""",община Марица,0.12096
"ФтЕЦ ""Елхово 4""",община Елхово,4.01128
"ФтЕЦ ""Орлова могила""",община Добричка,2.188
"ФтЕЦ ""Вадис - Пазарджик""",община Пазарджик,0.03
"ФтЕЦ ""Вайтал - Средец""",община Средец,0.396
"ФтЕЦ ""ЕТ Васил Вълков - Сливен""",община Сливен,0.02967
"ФтЕЦ ""Вал Солар - Нова Загора""",община Нова Загора,0.0777
"ФтЕЦ ""Каспичан""",община Каспичан,0.144
"ФтЕЦ ""Вама - Малка поляна""",община Айтос,0.074
"ФтЕЦ ""Васмар""",община Кърджали,0.19747
"ФтЕЦ ""ВАТ Бургас - Рудник 2""",община Бургас,1.129
"ФтЕЦ ""ВАТ Бургас - Рудник 1""",община Бургас,1.756
"ФтЕЦ ""Ватком""",община Хаджидимово,0.075
"ФтЕЦ ""Соларват""",община Хаджидимово,0.099
"ФтЕЦ ""ВВК - Болярово""",община Болярово,0.02961
"ФтЕЦ ""Ви Веста Холдинг""",община Любимец,0.69312
"ФтЕЦ ""Конуш""",община Асеновград,0.5
"ФтЕЦ ""Въгляров - Казанлък""",община Казанлък,0.025
"ФтЕЦ ""В и Д - Чешнегирово""",община Садово,0.03
"ФтЕЦ ""ВД инвест - Даскал Атанасово""",община Раднево,0.00493
"ФтЕЦ ""ВЕИ консулт - Стралджа""",община Стралджа,1.2928
"ФтЕЦ ""Вики Енерджи Груп - Искра""",община Първомай,0.03
"ФтЕЦ ""Теке дере""",община Шумен,2.256
"ФтЕЦ ""Старо село""",община Тутракан,0.06804
"ФтЕЦ ""Весбой""",община Харманли,0.03
"ФтЕЦ ""Вес Електроинвест""",община Петрич,0.2
"ФтЕЦ ""Веи Проджект""",община Струмяни,0.063
"ФтЕЦ ""ВЕИ Строй""",община Стамболово,4.5
"ФтЕЦ ""ПЕ ЕКО 5""",община Сандански,0.1012
"ФтЕЦ ""Венера Класик""",община Марица,0.03
"ФтЕЦ ""ВЕЛ - Мадан""",община Мадан,0.131
"ФтЕЦ ""Верея Пласт""",община Стара Загора,0.0819
"ФтЕЦ ""Вертикал""",община Плевен,0.005
"ФтЕЦ ""Вел - Солар""",община Минерални бани,0.08
"ФтЕЦ ""Ветово-3""",община Ветово,0.03
"ФтЕЦ ""ВИП - Ардино""",община Ардино,0.029835
"ФтЕЦ ""Вита Агро - Синьо Камене""",община Средец,0.0999
"ФтЕЦ ""Вива - Любимец""",община Любимец,0.03
"ФтЕЦ ""ВИ-ГО""",община Гърмен,0.086
"ФтЕЦ ""ВИК Енерджи""",община Съединение,0.57582
"ФтЕЦ ""Смочево""",община Рила,0.2
"ФтЕЦ ""Виел инвест - Кротиря""",община Поморие,0.06
"ФтЕЦ ""Винко - Камен""",община Сливен,0.68544
"ФтЕЦ ""Винко - 2""",община Сливен,0.18576
"ФтЕЦ ""Вистрел""",община Брезово,0.0348
"ФтЕЦ ""Ви Джи Солар""",община Панагюрище,0.07614
"ФтЕЦ ""Виен систем""",община Бяла Слатина,0.06435
"ФтЕЦ ""Ви Трейдинг - Маленово""",община Стралджа,0.066
"ФтЕЦ ""Верея Комерс""",община Мъглиж,0.078
"ФтЕЦ ""Вели солар - Драганци""",община Карнобат,0.03
"ФтЕЦ ""ВНН - Желю Войвода""",община Сливен,0.03
"ФтЕЦ ""Вогон 168 - Добрич""",община Елхово,0.07056
"ФтЕЦ ""Вогон 167 - Добрич""",община Елхово,0.07056
"ФтЕЦ ""Волтекс - Проглед""",община Чепеларе,0.06072
"ФтЕЦ ""Волтик""",община Марица,0.08424
"ФтЕЦ ""Волтпанел""",община Айтос,0.135
"ФтЕЦ ""Волтенерджи - Средец""",община Опан,0.0228
"ФтЕЦ ""Випера - Константиново""",община Симеоновград,0.08586
"ФтЕЦ ""Веселиново Енерджи""",община Тунджа,3.9889
"ФтЕЦ ""Екоинвест - Воденичане""",община Стралджа,1.0
"ФтЕЦ ""Ват 77 - Твърдица""",община Твърдица,0.07776
"ФтЕЦ ""Зорница""",община Сандански,0.2072
"ФтЕЦ ""Вълчин Енерджи""",община Сунгурларе,3.74808
"ФтЕЦ ""Габи Грийн""",община Раковски,0.01053
"ФтЕЦ ""Янково 1""",община Смядово,0.0977
"ФтЕЦ ""Вещица""",община Белоградчик,0.1128
"ФтЕЦ ""Айтос 2""",община Айтос,0.1
"ФтЕЦ ""Пирне""",община Айтос,0.099
"ФтЕЦ ""Айтос""",община Айтос,0.02
"ФтЕЦ ""Севлиево 1""",община Севлиево,0.1792
"ФтЕЦ ""Севлиево""",община Севлиево,0.1976
"ФтЕЦ ""Геовид Макреш""",община Макреш,1.0
"ФтЕЦ ""Славяново""",община Харманли,0.1242
"ФтЕЦ ""Веселец""",община Омуртаг,0.029
"ФтЕЦ ""Перун""",община Разлог,4.918
"ФтЕЦ ""Геонайд - Ж. войвода""",община Сливен,0.0049
"ФтЕЦ ""Геопроект - Приморско""",община Приморско,0.01323
"ФтЕЦ ""Геосолар - Писменово""",община Приморско,0.16362
"ФтЕЦ ""Гери""",община Струмяни,0.06804
"ФтЕЦ ""Веселец - 1""",община Омуртаг,0.001
"ФтЕЦ ""Гери 2""",община Струмяни,0.2
"ФтЕЦ ""Елов дол - 2""",община Земен,0.063
"ФтЕЦ ""Елов дол - 1""",община Земен,0.2
"ФтЕЦ ""Гисолар - Любенова махала""",община Нова Загора,1.5
"ФтЕЦ ""ГИТ - Несебър""",община Несебър,0.07
"ФтЕЦ ""Грийн Фючър - Боздуганово""",община Раднево,0.04968
"ФтЕЦ ""Голямо Бабино""",община Криводол,0.03
"ФтЕЦ ""Левски""",община Карлово,0.1974
"ФтЕЦ ""Глобал Солар""",община Пловдив,0.2
"ФтЕЦ ""Грийн Миг Енерджи""",община Пловдив,0.168
"ФтЕЦ ""Гемар""",община Банско,0.0684
"ФтЕЦ ""Пе Еко 4""",община Сандански,0.1
"ФтЕЦ ""Селци 2""",община Садово,0.1824
"ФтЕЦ ""Голдинс - Съдийско поле""",община Нова Загора,3.7
"ФтЕЦ ""Голдън Сан - Трояново""",община Камено,1.5
