ime,obshtina,moshtnost
"ФтЕЦ ""Теоагро - Габарево""",община Павел баня,0.1128
"ФтЕЦ ""Тенево Солар""",община Тунджа,4.0
"ФтЕЦ ""Техномонтаж - Загорци""",община Нова Загора,0.08004
"ФтЕЦ ""Техносън - Равадиново""",община Созопол,0.0048
"ФтЕЦ ""Тива парк - 1""",община Русе,0.022
"ФтЕЦ ""Тримакс""",община Ковачевци,0.065
"ФтЕЦ ""Тим Ойл - Харманли""",община Харманли,0.08004
"ФтЕЦ ""Типс - Горица""",община Поморие,0.015
"ФтЕЦ ""Титан""",община Гърмен,0.2
"ФтЕЦ ""Златна Панега""",община Ябланица,0.0783
"ФтЕЦ ""Топелектрик - Маленово""",община Стралджа,0.07776
"ФтЕЦ ""Томси - Веселие""",община Приморско,0.0033
"ФтЕЦ ""Брягово""",община Първомай,0.4623
"ФтЕЦ ""Топсолар 1""",община Марица,0.0644
"ФтЕЦ ""Топсолар 2""",община Марица,0.06072
"ФтЕЦ ""Тотал - Братя Даскалови""",община Братя Даскалови,0.18632
"ФтЕЦ ""Тракия Енерджи - Мезек""",община Свиленград,1.06
"ФтЕЦ ""Татарево""",община Минерални бани,0.0797
"ФтЕЦ""Златарица""",община Златарица,0.084
"ФтЕЦ ""Тракия Електро Пауър""",община Марица,0.12096
"ФтЕЦ ""Терес""",община Опан,4.809
"ФтЕЦ ""Тракийска изба""",община Лом,0.2
"ФтЕЦ ""Крушево""",община Първомай,0.05
"ФтЕЦ ""Електра -Айтос""",община Айтос,0.15
"ФтЕЦ ""Тракия РМ - Момино""",община Раковски,0.25
"ФтЕЦ ""Тракия РМ - Белозем""",община Раковски,0.25
"ФтЕЦ ""Тополово""",община Асеновград,0.029
"ФтЕЦ ""Таун Пропъртис 1""",община Мадан,0.116
"ФтЕЦ ""Таун Пропъртис 2""",община Мадан,0.12
"ФтЕЦ ""Таун Пропъртис 3""",община Мадан,0.096
"ФтЕЦ ""Техносолар""",община Елин Пелин,0.40049
"ФтЕЦ ""Бръшлен""",община Сливо поле,0.08208
"ФтЕЦ ""Улер""",община Пазарджик,4.703
"ФтЕЦ ""Усол - Константиново""",община Симеоновград,1.3
"ФтЕЦ ""Чобанка""",община Сливен,10.076
"ФтЕЦ ""Фаворит-Машинекс""",община Любимец,0.03
"ФтЕЦ ""Олаф""",община Брезник,0.37
"ФтЕЦ ""Карбинци-1""",община Димово,3.15
"ФтЕЦ ""Игнатиево""",община Аксаково,0.28567
"ФтЕЦ ""ЕТ Зарка Господинова - Меден кладенец""",община Тунджа,0.2
"ФтЕЦ ""Феерия - Зимница""",община Стралджа,0.03
"ФтЕЦ ""Лъки - Стара Загора""",община Стара Загора,0.2
"ФтЕЦ ""Фей енд Ко - Николаево""",община Николаево,2.7
"ФтЕЦ ""Фотоволтаика енерджи""",община Пазарджик,0.1
"ФтЕЦ ""Скобелево 1""",община Димитровград,2.5
"ФтЕЦ ""Скобелево 2""",община Димитровград,2.5
"ФтЕЦ ""Орешец - 1""",община Димово,4.879
"ФтЕЦ ""Гюргич - 1""",община Ружинци,0.15038
"ФтЕЦ ""Фи енерджи""",община Сандански,0.03
"ФтЕЦ ""Филимекс - 2""",община Хисаря,0.182
"ФтЕЦ ""Филимекс - 3""",община Хисаря,0.255
"ФтЕЦ ""Филимекс - 4""",община Хисаря,0.323
"ФтЕЦ ""Филимекс - 1""",община Хисаря,0.634
"ФтЕЦ ""Филикон""",община Марица,3.0
"ФтЕЦ ""Фишкорп""",община Стрелча,0.005
"ФтЕЦ ""Фотоволтаикс Карлово""",община Карлово,3.5
"ФтЕЦ ""Ловеч""",община Ловеч,4.4
"ФтЕЦ ""Феникс 73""",община Пирдоп,0.10296
"ФтЕЦ ""Фотоволтаици - Винарово""",община Чирпан,0.03
"ФтЕЦ ""Фотоелектрик""",община Минерални бани,0.4
"ФтЕЦ ""Забития камък""",община Сливен,0.02241
"ФтЕЦ ""Фотоволт - Хлябово 2""",община Тополовград,0.03
"ФтЕЦ ""Фотоволт - Българска поляна""",община Тополовград,0.03
"ФтЕЦ ""Висока поляна""",община Хитрино,0.2
"ФтЕЦ ""Форест - Габарево""",община Павел баня,2.6
"ФтЕЦ ""Фотокристиан - Ветрен""",община Мъглиж,0.06426
"ФтЕЦ ""Фотокристиан - Гълъбово""",община Гълъбово,0.07008
"ФтЕЦ ""Фотони 4 - Винарско""",община Камено,1.0
"ФтЕЦ ""Фототекс - Стоил войвода""",община Нова Загора,0.87255
"ФтЕЦ ""Фотоно - Сноп""",община Генерал Тошево,0.10422
"ФтЕЦ ""Могилино - 4""",община Две могили,0.10235
"ФтЕЦ ""Орешец 2""",община Димово,0.995
"ФтЕЦ ""Форс солар""",община Медковец,0.103
"ФтЕЦ ""Фотон Средец""",община Средец,1.9044
"ФтЕЦ ""ФТВ Енерджи - Завой""",община Тунджа,0.072
"ФтЕЦ ""Денчевци""",община Дряново,0.15552
"ФтЕЦ ""Фотоинвест груп""",община Стара Загора,1.1417
"ФтЕЦ ""Фотоволтаици - Опан""",община Опан,0.08892
"ФтЕЦ ""Фиштрейд""",община Летница,4.0
"ФтЕЦ ""Топола""",община Каварна,0.01965
"ФтЕЦ ""Ханово 2 Солар""",община Тунджа,1.5
"ФтЕЦ ""Ханово 1 Солар""",община Тунджа,4.5
"ФтЕЦ ""Хеброс Солар""",община Харманли,0.07144
"ФтЕЦ ""Орешец 4""",община Димово,0.2
"ФтЕЦ ""Хеперс Ел""",община Златоград,0.08
"ФтЕЦ ""Хелиос Енергетикс - Симеоново""",община Тунджа,0.07912
"ФтЕЦ ""Хелект""",община Пловдив,0.2
"ФтЕЦ ""Хелиос - Челник""",община Тунджа,3.0
"ФтЕЦ ""Хугин - Айтос""",община Айтос,0.003
"ФтЕЦ ""Херман Мартенс - Александрово""",община Стралджа,0.074025
"ФтЕЦ ""Хелинеос""",община Марица,0.12096
"ФтЕЦ ""Хермес - Раздел""",община Елхово,0.05672
"ФтЕЦ ""Хермес - Раздел 2""",община Елхово,0.02223
"ФтЕЦ ""Хепи Строй - Нова Загора""",община Нова Загора,0.075
"ФтЕЦ ""Христов стил - Заберново""",община Малко Търново,0.1584
"ФтЕЦ ""Хит Еко - Веселие""",община Приморско,0.021
"ФтЕЦ ""Бела вода""",община Петрич,1.0
"ФтЕЦ ""Хелиос - Радево""",община Нова Загора,0.05508
"ФтЕЦ ""Хот Лайт - Добриново""",община Карнобат,0.065
"ФтЕЦ ""Хрис 90 - Сливен""",община Сливен,0.092
"ФтЕЦ ""Хрищени""",община Стара Загора,0.0298
"ФтЕЦ ""ЦПЛ Б1 Солар""",община Марица,0.12096
"ФтЕЦ ""Цунами""",община Любимец,0.072
"ФтЕЦ ""Чайна Солар""",община Съединение,2.6082
"ФтЕЦ ""Чайна Солар 2""",община Съединение,4.0
"ФтЕЦ ""Чарган Солар Плант - Чарган""",община Тунджа,3.0
"ФтЕЦ ""Чепеларе Енерджи""",община Чепеларе,0.0966
"ФтЕЦ ""Чезаре - Тенево""",община Тунджа,0.06624
"ФтЕЦ ""Чикалов""",община Симитли,0.03
"ФтЕЦ ""Шабла Вю""",община Опан,3.521
"ФтЕЦ ""Щека Електроник България""",община Съединение,0.01
"ФтЕЦ ""Ю Ес Ю - Маленово""",община Стралджа,0.07943
"ФтЕЦ ""Южен бряг - Китен""",община Приморско,0.0128
"ФтЕЦ ""Юнион Солар""",община Тунджа,2.51262
"ФтЕЦ ""Юнерджи - Сусам""",община Минерални бани,0.0345
"ФтЕЦ ""Сива - Търговище""",община Търговище,0.41952
"ФтЕЦ ""Ямбол Солар""",община Ямбол,2.0
"ФтЕЦ ""Яница Енерджи - Кирилово""",община Елхово,0.09984
"ФтЕЦ ""14 елемент - с. Княжевско""",община Опан,0.02967
"ФтЕЦ ""Аабакус Солар - 2 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Ава Трейд - Загорци""",община Средец,0.03
"ФтЕЦ ""АВВА Павилион - Златоград""",община Златоград,0.005
"ФтЕЦ ""АВВА - Къща - Златогард""",община Златоград,0.005
"ФтЕЦ ""Коларово""",община Главиница,5.0
"ФтЕЦ ""Агро Инвест 2""",община Харманли,0.03
"ФтЕЦ ""Агро Инвест""",община Харманли,0.03
"ФтЕЦ ""Гецово 1""",община Разград,0.03
"ФтЕЦ ""Аик 79""",община Разлог,0.03
"ФтЕЦ ""Айко""",община Петрич,0.03
"ФтЕЦ ""Липница""",община Мизия,0.03
"ФтЕЦ ""Ант Електрик - Глуфишево""",община Сливен,0.0297
"ФтЕЦ ""Аниди - Целина""",община Чирпан,0.02304
"ФтЕЦ ""Апоелектрик""",община Гоце Делчев,0.03
"ФтЕЦ ""Априлово Солар""",община Гълъбово,0.0725
"ФтЕЦ ""Ай Пи Ти 1 - Попинци""",община Панагюрище,0.0199
"ФтЕЦ ""Анасолар - 3 - Дуванлии",община Калояново,0.098
"ФтЕЦ ""Климент""",община Каолиново,0.16
"ФтЕЦ ""Атрон - Ковачите 3""",община Сливен,0.03
"ФтЕЦ ""Атрон - Ковачите 2""",община Сливен,0.0299
"ФтЕЦ ""Атрон - Ковачите 1""",община Сливен,0.0299
"ФтЕЦ ""Денчевци - 1""",община Дряново,0.0805
"ФтЕЦ ""БГ Екоенерджи""",община Ботевград,0.004
"ФтЕЦ ""Вълов""",община Долни Дъбник,0.03
"ФтЕЦ ""Бети 4000""",община Марица,0.03
"ФтЕЦ ""Велики Преслав""",община Велики Преслав,0.14711
"ФтЕЦ ""Биока""",община Петрич,0.03
"ФтЕЦ ""Дряново - 5""",община Дряново,0.069
"ФтЕЦ ""Биосет - Пловдив""",община Пловдив,0.02952
"ФтЕЦ ""БМБ комерс""",община Петрич,0.03
"ФтЕЦ ""Био Мощ - Твърдица""",община Твърдица,0.07776
"ФтЕЦ ""Дряново - 2""",община Дряново,0.069
"ФтЕЦ ""Бонарт""",община Столична,0.00308
"ФтЕЦ ""Бордис Солар - Стряма""",община Марица,0.1128
"ФтЕЦ ""Бруната солар""",община Раковски,0.03
"ФтЕЦ ""Би Ес Аи Бялкови Солар Инвест - Крумовград""",община Крумовград,0.0648
"ФтЕЦ ""Сливо поле - 2""",община Сливо поле,0.03
"ФтЕЦ ""Босолар - Княжевско 1""",община Опан,0.09576
"ФтЕЦ ""Босолар - 6 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Бъдеще Агро - Виноградец""",община Септември,4.1181
"ФтЕЦ ""Булхит""",община Пазарджик,0.03
"ФтЕЦ ""Буковец - Твърдица""",община Твърдица,0.07953
"ФтЕЦ ""Искър""",община Вълчи дол,0.08424
"ФтЕЦ ""Валари 78""",община Тутракан,0.054
"ФтЕЦ ""Вайлет""",община Родопи,0.02
"ФтЕЦ ""Белица - 1""",община Тутракан,0.054
"ФтЕЦ ""Вайберлен Солар Уан - 5 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Съненерджи БГ - Любимец""",община Любимец,0.69312
"ФтЕЦ ""Васил Маринов - Брацигово""",община Брацигово,0.0049
"ФтЕЦ ""Вера - 60""",община Карлово,0.03
"ФтЕЦ ""Стоби""",община Кочериново,0.03
"ФтЕЦ ""В енд И Енерджи""",община Дупница,0.015
"ФтЕЦ ""Велвол - 14 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Венида""",община Пордим,0.06534
"ФтЕЦ ""Долни Дъбник""",община Долни Дъбник,0.03
"ФтЕЦ ""Вел Солар - Карбинци""",община Димово,0.03
"ФтЕЦ ""Виел Инвест - Кротиря""",община Поморие,0.06
"ФтЕЦ ""Виел Инвест - Харманите""",община Поморие,0.027
"ФтЕЦ ""Викторио - Нели""",община Рудозем,0.03
"ФтЕЦ ""Викторио""",община Рудозем,0.03
"ФтЕЦ ""Витоша Стил""",община Банско,0.0044
"ФтЕЦ ""Денчевци - 2""",община Дряново,0.0805
"ФтЕЦ ""В и М Енерджи""",община Долна Митрополия,0.03
"ФтЕЦ ""ВНН - Желю войвода""",община Сливен,0.03
"ФтЕЦ ""Волтен Ви""",община Дупница,0.015
"ФтЕЦ ""Волтрон - Дюлево""",община Средец,0.03
"ФтЕЦ ""Волтенержи - Средец""",община Опан,0.0228
"ФтЕЦ ""Вега Принт 95""",община Карлово,0.03
"ФтЕЦ ""В-Ренесанс""",община Карлово,0.03
"ФтЕЦ ""В-ТЕЛ""",община Белица,0.03
"ФтЕЦ ""Ватковски""",община Искър,0.1
"ФтЕЦ ""Ватковски 2""",община Искър,0.03
"ФтЕЦ ""Вълков и синове 1""",община Бургас,0.01
"ФтЕЦ ""Вълков и синове 2""",община Бургас,0.01
"ФтЕЦ ""Галина Бабчева - Доспат""",община Доспат,0.0759
"ФтЕЦ ""Гама ен - Бояново""",община Елхово,0.005
"ФтЕЦ ""Помощица - 1""",община Попово,0.0033
"ФтЕЦ ""Денчевци - 3""",община Дряново,0.0805
"ФтЕЦ ""Гери - 1""",община Струмяни,0.06804
"ФтЕЦ ""Гея - Сърнево""",община Раднево,0.10005
"ФтЕЦ ""Гига""",община Струмяни,0.147
"ФтЕЦ ""Генади Маринов - Добровница""",община Пазарджик,0.005
"ФтЕЦ ""Карина""",община Варна,0.005
"ФтЕЦ ""ГНСолар - 6 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Джей Пауър - Жребино 2""",община Елхово,0.0725
"ФтЕЦ ""Джей Пауър - Жребино 1""",община Елхово,0.0725
"ФтЕЦ ""Григори - ЮР""",община Брацигово,0.03
"ФтЕЦ ""Делта хил - ГД""",община Перник,0.0016
"ФтЕЦ ""Стоянов и Абаджиев - Калугерово""",община Симеоновград,0.03
"ФтЕЦ ""Дани и Тодоров 2 - Казанлък""",община Казанлък,0.03
"ФтЕЦ ""Датцсолар - 15 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Велико Търново""",община Велико Търново,0.02
"ФтЕЦ ""Дига""",община Сандански,0.03
"ФтЕЦ ""Дигео - Гюльовица""",община Несебър,0.0289
"ФтЕЦ ""Димера""",община Кула,0.06912
"ФтЕЦ ""Руйнекова""",община Раковски,0.0276
"ФтЕЦ ""Паисиево""",община Дулово,0.0977
"ФтЕЦ ""Дъбово""",община Мъглиж,9.66
"ФтЕЦ ""Поручик Гешанов""",община Добричка,0.05616
"ФтЕЦ ""Дряново - 3""",община Дряново,0.06912
"ФтЕЦ ""Екоенерджи 86 - Зелениково""",община Брезово,0.03
"ФтЕЦ ""Дряново""",община Дряново,0.069
"ФтЕЦ ""Еко Енерджи 85 - Твърдица""",община Твърдица,0.07776
"ФтЕЦ ""Еко Виа - Граничар""",община Средец,0.03
"ФтЕЦ ""Еко Енерджи 2009 - Деветак""",община Карнобат,0.045
"ФтЕЦ ""Екоенекс - Опълченец"" (ел.1)",община Братя Даскалови,0.5
"ФтЕЦ ""Екоенекс - Опълченец"" (ел.2)",община Братя Даскалови,1.5
"ФтЕЦ ""Еколъч - Кожари""",община Борино,0.0108
"ФтЕЦ ""Екосолар"" (ел. 1)",община Враца,9.0
"ФтЕЦ ""Екосолар"" (ел. 2)",община Враца,6.0
"ФтЕЦ ""Експреском - Септември""",община Септември,0.19646
"ФтЕЦ ""Екотерминженеринг - Ляхово""",община Пазарджик,0.01
"ФтЕЦ ""Овчарци""",община Сапарева баня,0.005
"ФтЕЦ ""Ел Инвест""",община Червен бряг,0.02
"ФтЕЦ ""Елдад""",община Карлово,0.0048
"ФтЕЦ ""Елдад-М-2",община Карлово,0.03
"ФтЕЦ ""Електрон Сервиз""",община Долни Дъбник,0.02961
"ФтЕЦ ""Веселец - 2""",община Омуртаг,0.029
"ФтЕЦ ""Елимат-Карлово""",община Карлово,0.02592
"ФтЕЦ ""Джурово""",община Правец,0.0296
"ФтЕЦ ""Елприбор - Бургас""",община Бургас,0.065
"ФтЕЦ ""Ел - Тим""",община Хасково,0.03
"ФтЕЦ ""Е. Миролио - Сливен""",община Сливен,0.2
"ФтЕЦ ""Енерджи 5500""",община Кърджали,0.02958
"ФтЕЦ ""Енерджи 71 - 1""",община Минерални бани,0.03
"ФтЕЦ ""Енерджи 71 - 2""",община Минерални бани,0.03
"ФтЕЦ ""Енерджи 71 Солар - 1""",община Минерални бани,0.03
"ФтЕЦ ""Енерджи 71 Солар - 2""",община Минерални бани,0.03
"ФтЕЦ ""Енерджи Груп - БГ - Узунджово""",община Хасково,1.6
"ФтЕЦ ""Равнище 1""",община Правец,0.03
"ФтЕЦ ""Енвиво - 1 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Енвиво - 2 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Енвиво - 3 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Енвиво - 4 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Енвиво - 5 - Зетьово""",община Чирпан,0.19941
"ФтЕЦ ""Неоенекс - Димитриево""",община Чирпан,2.5
"ФтЕЦ ""Енивел""",община Дупница,0.029
"ФтЕЦ ""Нова бяла река""",община Върбица,0.683
"ФтЕЦ ""Исперих""",община Исперих,0.00477
"ФтЕЦ ""ЕС - 3""",община Пазарджик,0.03
"ФтЕЦ ""Есетра - Болярци""",община Садово,0.19773
"ФтЕЦ ""Елисолар - 16 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Игнатовци - 2""",община Дряново,0.08352
"ФтЕЦ ""Енергийни системи Сухиндол - Щит""",община Свиленград,1.5
"ФтЕЦ ""Е. В. Т. - Електра Волт Трейд"" (ел. 1)",община Любимец,5.16
"ФтЕЦ ""Е. В. Т. - Електра Волт Трейд"" (ел. 2)",община Любимец,4.72
"ФтЕЦ ""Живан""",община Крумовград,0.03
"ФтЕЦ "" Джордан и Крис - Гергевец 1""",община Сливен,0.02961
"ФтЕЦ "" Джордан и Крис - Гергевец 2""",община Сливен,0.02961
"ФтЕЦ ""Здравковстрой - Кутела""",община Смолян,0.03
"ФтЕЦ ""Свилен Маринов - Желязово""",община Камено,0.03
"ФтЕЦ ""Златно слънце - Скобелево""",община Сливен,0.02967
"ФтЕЦ "" ЕТ ИВ - Ивелина Георгиева - Близнец""",община Твърдица,0.0299
"ФтЕЦ ""Ив Енерджи - Димитровче""",община Свиленград,0.10272
"ФтЕЦ ""Илиев""",община Каспичан,0.0011
"ФтЕЦ ""Ивантин - Шарково""",община Болярово,0.03
"ФтЕЦ ""ЕТ Иван Генчев - Джотекс""",община Николаево,0.00539
"ФтЕЦ ""Изида трейд""",община Карлово,0.03
"ФтЕЦ ""Изток""",община Разлог,0.02964
"ФтЕЦ ""Илисолар - Сливен""",община Сливен,0.0296
"ФтЕЦ ""Синаг""",община Опан,0.03
"ФтЕЦ ""Индустри Парк - Стара Загора""",община Стара Загора,0.03
"ФтЕЦ ""Инструмент""",община Петрич,0.03
"ФтЕЦ ""Лиляче""",община Враца,0.0243
"ФтЕЦ ""Карнота - Венец""",община Карнобат,0.07
"ФтЕЦ ""Велинград - Каров""",община Велинград,0.0297
"ФтЕЦ ""Квел - Твърдица""",община Твърдица,0.012
"ФтЕЦ ""Електроекспрес 2""",община Пазарджик,0.03
"ФтЕЦ ""Кейбъл Груп - Пазарджик""",община Пазарджик,0.03
"ФтЕЦ ""Стърмен""",община Бяла,0.0648
"ФтЕЦ ""Доян Лес """,община Струмяни,0.9
"ФтЕЦ ""Кобина""",община Столична,0.005
"ФтЕЦ ""Кортен Солар - Кортен""",община Нова Загора,0.0798
"ФтЕЦ ""Косранг - Горно Ботево""",община Стара Загора,0.03
"ФтЕЦ ""Коце 2006 - В. Левски""",община Карлово,0.03
"ФтЕЦ ""Камено Пи Ви Ес""",община Камено,2.84542
"ФтЕЦ ""Кравел""",община Столична,0.03
"ФтЕЦ ""Банкя""",община Столична,0.0047
"ФтЕЦ ""Кати Сън Систем 1 - Раздел""",община Елхово,0.03
"ФтЕЦ ""Кати Сън Систем 2 - Раздел""",община Елхово,0.03
"ФтЕЦ ""Лагуна - Доспат""",община Доспат,0.06
"ФтЕЦ ""Ланца Солар 1 - Момчилград""",община Момчилград,0.02346
"ФтЕЦ ""Ланца Солар 2 - Момчилград""",община Момчилград,0.0252
"ФтЕЦ ""Ланца Солар 3 - Момчилград""",община Момчилград,0.0252
"ФтЕЦ ""Лериан Голд - Даскал Атанасово""",община Раднево,0.0275
"ФтЕЦ ""Лендхилс - Осларка""",община Чирпан,0.03
"ФтЕЦ ""Ликор - Хлябово 5""",община Тополовград,0.03
"ФтЕЦ ""Ликор - Хлябово 3""",община Тополовград,0.03
"ФтЕЦ ""ЛПЗ - Спахиево 1""",община Минерални бани,0.02
"ФтЕЦ ""ЛПЗ - Спахиево 2""",община Минерални бани,0.03
"ФтЕЦ ""ЛПЗ - Спахиево""",община Минерални бани,0.03
"ФтЕЦ ""Малка Черковна""",община Антоново,0.06912
"ФтЕЦ ""Маги - Димитровград""",община Димитровград,0.03
"ФтЕЦ ""Мантар""",община Петрич,0.03
"ФтЕЦ ""Малини - Сухозем""",община Калояново,0.0927
"ФтЕЦ ""Деел - Макроком Сливен""",община Сливен,0.198
"ФтЕЦ ""Марвел""",община Долни Дъбник,0.03
"ФтЕЦ ""Марсел-Дядово""",община Нова Загора,0.03
"ФтЕЦ ""Макс Солвест - 4 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Дряново - 4""",община Дряново,0.06912
"ФтЕЦ ""Габрово - Покрив""",община Габрово,0.012
"ФтЕЦ ""Габрово 1 - Земя""",община Габрово,0.017
"ФтЕЦ ""Славейково""",община Провадия,0.0726
"ФтЕЦ ""Меганет - Ведраре""",община Карлово,0.03
"ФтЕЦ ""Меганет - Горни Домлян""",община Карлово,0.03
"ФтЕЦ ""Дарака""",община Радомир,0.03
"ФтЕЦ ""Мепекс""",община Пловдив,0.03
"ФтЕЦ ""Мигсолар - 11 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Раковица""",община Макреш,0.09216
"ФтЕЦ ""МИГ Енерджи - Мамарчево 1""",община Болярово,0.03
"ФтЕЦ ""МИГ Енерджи - Мамарчево 2""",община Болярово,0.03
"ФтЕЦ ""Митакс - Сливен""",община Сливен,0.03
"ФтЕЦ ""Миле Инженеринг""",община Разлог,0.03
"ФтЕЦ ""Млада Гвардия""",община Ветрино,0.015
"ФтЕЦ ""Милма -Романов""",община Раковски,0.00819
"ФтЕЦ ""Мария Михайлова - 38""",община Хисаря,0.0033
"ФтЕЦ ""Михайлова - Свобода""",община Стрелча,0.0099
"ФтЕЦ ""Мотто инженеринг - Млекарево 2""",община Нова Загора,0.005
"ФтЕЦ ""МР Енержи - Свиленград""",община Свиленград,0.102375
"ФтЕЦ ""Мултиплан""",община Пазарджик,0.0075
"ФтЕЦ ""Напредък - Гергевец""",община Сливен,0.07981
"ФтЕЦ ""Натурекс""",община Брезник,0.065
"ФтЕЦ ""Равнище 2""",община Правец,0.03
"ФтЕЦ ""Игнатовци""",община Дряново,0.07056
"ФтЕЦ ""Недстар - Смолян""",община Смолян,0.008
"ФтЕЦ ""Неделина - Конаре""",община Гурково,0.0432
"ФтЕЦ ""Самандов""",община Гоце Делчев,0.03
"ФтЕЦ ""Нико Василев - Кирилово""",община Елхово,0.02
"ФтЕЦ ""Алтимир""",община Бяла Слатина,0.0294
"ФтЕЦ ""Алтимир 2""",община Бяла Слатина,0.0294
"ФтЕЦ ""НН Енерджи - Сан Стефано""",община Карнобат,0.015
"ФтЕЦ ""Новел - М - Поморие""",община Поморие,0.0032
"ФтЕЦ ""Старо село - 1""",община Тутракан,0.07344
"ФтЕЦ ""Нова солар - Нова махала""",община Николаево,0.04788
"ФтЕЦ ""НПМ Енержи - Свиленград""",община Свиленград,0.102357
"ФтЕЦ ""Натуркрафт - Блатец"" (ел. 1)",община Сливен,0.4566
"ФтЕЦ ""Натуркрафт - Блатец"" (ел. 2)",община Сливен,0.38016
"ФтЕЦ ""Оги - Инвест""",община Пазарджик,0.023
"ФтЕЦ ""Октагон 2""",община Карлово,0.03
"ФтЕЦ ""Шарк""",община Якоруда,0.0048
"ФтЕЦ ""Полски сеновец - 1""",община Полски Тръмбеш,0.0072
"ФтЕЦ ""Долапите""",община Русе,0.02052
"ФтЕЦ ""Панел - Твърдица""",община Твърдица,0.07776
"ФтЕЦ ""Пами 2 - Велинград""",община Велинград,0.0298
"ФтЕЦ ""Помощица""",община Попово,0.0033
"ФтЕЦ ""Акчелар""",община Варна,0.02106
"ФтЕЦ ""Малко Църквище - 2""",община Омуртаг,0.029
"ФтЕЦ ""Котленци""",община Добричка,4.897
"ФтЕЦ ""Пчеларово - 1""",община Генерал Тошево,0.5
"ФтЕЦ ""Борован""",община Борован,0.078
"ФтЕЦ ""Рус Марини 1""",община Долни Дъбник,0.005
"ФтЕЦ ""Рус Марини 2""",община Долни Дъбник,0.01
"ФтЕЦ ""Градоман""",община Столична,0.0049
"ФтЕЦ ""ПЕП Солар - 13 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Петко Крълев - Твърдица""",община Твърдица,0.015
"ФтЕЦ ""Върба""",община Столична,0.0028
"ФтЕЦ ""Про Инвест""",община Разлог,0.03
"ФтЕЦ ""Пролак""",община Петрич,0.03
"ФтЕЦ ""Премиер""",община Гоце Делчев,0.03
"ФтЕЦ ""Пряспа""",община Балчик,0.0486
"ФтЕЦ ""Рада - Сливен""",община Сливен,0.03
"ФтЕЦ ""Берковски""",община Попово,0.06885
"ФтЕЦ ""Реиж 1""",община Пирдоп,0.03
"ФтЕЦ ""Реиж 2""",община Пирдоп,0.03
"ФтЕЦ ""Рич Солар - Бодрово""",община Димитровград,0.03
"ФтЕЦ ""Риал Стейтс 2""",община Пазарджик,1.3005
"ФтЕЦ ""Робокоп - Атолово""",община Стралджа,0.0686
"ФтЕЦ ""Ванко""",община Карлово,0.03
"ФтЕЦ ""Румен Райков - Богданово""",община Нова Загора,0.0672
"ФтЕЦ ""САГ - Ковачите""",община Сливен,0.01128
"ФтЕЦ ""Сънсайт - Генералово""",община Свиленград,0.1012
"ФтЕЦ ""Соларинг - 9 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""САШ Енержи - Свиленград""",община Свиленград,0.102375
"ФтЕЦ ""Гецово""",община Разград,0.03
"ФтЕЦ ""Стоян Бъчваров и Татяна Бъчварова""",община Столична,0.003375
"ФтЕЦ ""Слънчеви технологии""",община Божурище,0.1
"ФтЕЦ ""Слънчев дар - Гита""",община Чирпан,0.03
"ФтЕЦ ""СДВ - Солар""",община Петрич,0.03
"ФтЕЦ ""Солар Енерджи - Пловдив""",община Пловдив,0.029845
"ФтЕЦ ""Сън Енерджи - Братя Даскалови""",община Братя Даскалови,0.06048
"ФтЕЦ ""Съни""",община Роман,0.08712
"ФтЕЦ ""Дряново - 6""",община Дряново,0.06912
"ФтЕЦ ""Солектрикс - Стара Загора""",община Стара Загора,0.0076
"ФтЕЦ ""Симпто - Айтос 1""",община Айтос,0.03
"ФтЕЦ ""Солар Инвест Трейдинг - 17 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Солар Инвест Трейдинг - 18 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Солар Инвест Трейдинг - 19 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Солар Инвест Трейдинг - 20 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Солар Инвест Трейдинг - 1 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Сиус - Оризари""",община Твърдица,4.0
"ФтЕЦ ""Кутловица""",община Алфатар,0.07056
"ФтЕЦ ""Сливо поле""",община Сливо поле,0.0999
"ФтЕЦ ""Сън Лайт Електра""",община Първомай,0.03
"ФтЕЦ ""Смолник Енерджи""",община Карнобат,2.8128
"ФтЕЦ ""Сънмекс - 12 - Дуванлии""",община Калояново,0.098
"ФтЕЦ ""Снап Кар""",община Симитли,0.03
